name,website,street_address,city,region,postal_code,country,phones,emails,whatsapp,social_links,opening_hours,materials,material_prices,description
Metal,https://www.sandiegocounty.gov/content/sdc/dpw/recycling/Metal.html,"3900  2-1-1 San
  Diego Board of Supervisors Department Contact",s Med,IA,,United States,[],['recycle@sdcounty.ca.gov'],[],[],,"['Iron', 'Steel', 'Scrap Metal', 'Electronic', 'Aluminum']",[],
Scrap Metal Buying in Los Angeles and San Diego,https://www.ekcometals.com/,2846 Commercial St,San Diego,CA,92113,United States,"['(619) 756-6696', '(323) 264-1615']",[],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Aluminum', 'Copper']",[],"With locations in Los Angeles and San Diego, Ekco Metals is a trusted scrap yard offering processing and recycling of ferrous and non-ferrous metals."
Del Paso Auto Dismantlers inSacramento (CA),https://usjunkyards.com/st-california/cy-sacramento/ci-sacramento/yd-2234-del-paso-auto-dismantlers/,"2020
											









 
Nick Caffrey



Best parts st",ore arou,ND,,United States,"['(916) 260-7340', '(888) 853-0481']",[],[],[],,"['Auto Parts', 'Aluminum', 'Scrap Metal']",[],"Del Paso Auto Dismantlers is located in the city of Sacramento, CA  ᐉ Contact information, reviews, photos, and opening hours are on our USJunkYards salvage yard database."
We Sell Used Car Parts,https://www.jiautodismantling.com/,"5226   
      Monday to Friday 8AM-5PM      Saturday 8AM-2PM      Sunday Closed  
       969 Heritage Rd",San Diego,CA,92154,United States,['(619) 816-5226'],[],[],[],,['Auto Parts'],[],"In San Diego, California, J&I Auto Dismantling is the best place to find all used auto parts. 969 Heritage Rd San Diego, CA 92154"
Ace Auto Wrecking,https://iscrapapp.com/yards/us-california-sacramento-ace-auto-wrecking/,"75
Fire Wire
Forktruck Battery
FSX 414
Fuses
Gold
Hard Drive Boards
Hard Drives
Hard Drives without Boards
Hastelloy Solids
Hastelloy Turnings
Heliax Wire
High Speed Steel
Housewire
Incomplete Car
Inconel
Inconel 792
Inconel 800
Inconel 825
Ink Cartridges
Insulated Aluminum Wire
Insulated Copper Cable
Insulated Copper Wire
Insulated Steel BX
Invar
Junkshop Extrusion
Keyboard","s
Kov",AR,,United States,['(916) 443-8299'],[],[],[],,"['Iron', 'Steel', 'Catalytic Converter', 'Brass', 'Scrap Metal', 'Zinc', 'Battery', 'Stainless Steel', 'Aluminum', 'Lead']",[],"Ace Auto Wrecking A Scrap Metal Yard and An Auto Salvage Yard in Sacramento, California Carries Various Car Parts and Auto Salvage Vehicles"
Professional Scrap Metal Recycling Services,https://www.mikesrecyclinginc.com/,1778 Broadway,Chu,LA,,United States,[],[],[],[],,"['Iron', 'Brass', 'Scrap Metal', 'Aluminum', 'Copper']",[],"Are you looking to scrap metal in Chula Vista, CA? Stop by Mike’s Recycling, Inc, to get fast cash."
California Certified Recycling,https://www.sanchezrecycling.net/,1130 W. 6th St.,Corona,CA,92882,United States,"['(714) 465-6732', '(714) 793-9934']",[],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Stainless Steel', 'Aluminum', 'Copper']",[],"We offer 4 locations to serve you! Cans, plastic, glass. We also offer roll off service. Call us today!"
Metal Recycling Los Angeles,https://www.tmscrapmetals.com/metal-recycling-los-angeles/,11092 Tuxford St,Sun Valley,CA,91352,United States,['(818) 771-0510'],['771-0510info@tmscrapmetals.comhours'],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Stainless Steel', 'Aluminum', 'Copper', 'Appliance']",[],"Metal recycling in Los Angeles, CA. We pay top prices for scrap metal. Need your scrap picked up? We offer mobile recycling and can come to you. Call today!"
Hours of Operation,https://www.metalrecyclingservicesofcalifornia.com/,,,,,United States,['(266) 942-2155'],"['touchcustomerservice@mrsofca.com', 'customerservice@mrsofca.com']",[],[],,"['Steel', 'Catalytic Converter', 'Brass', 'Stainless Steel', 'Aluminum', 'Copper']",[],"Metal Recycling , Scrap Yard buyers of Copper, Aluminum, HVAC , in Southern California"
Ajax Auto Dismantlers Inc,https://iscrapapp.com/yards/us-california-san-francisco-ajax-auto-dismantlers-inc/,2895 3rd St,San Francis,CO,,United States,['(415) 821-3100'],[],[],[],,"['Iron', 'Steel', 'Catalytic Converter', 'Brass', 'Zinc', 'Battery', 'Stainless Steel', 'Aluminum', 'Lead', 'Copper']",[],"Ajax Auto Dismantlers Inc, Auto Wrecker and Salvage Yard in San Francisco, California"
The Case,https://calmetalrecyclers.com/thecase/,"404





Got a quest",ion,OR,,United States,[],[],[],[],,"['Iron', 'Scrap Metal']",[],
Scrap Metal Recycling San Jose - Alco Metals,https://alcometals.com/scrap-metal-recycling-san-jose/,"39 MB.							



 



Send













San Leandro Headquarters 



									2140 Davis St.",San Leandro,CA,94577,United States,"['(408) 436-1107', '(510) 562-1107', '(707) 562-1107']","['info@alcometals.com', 'getaquote@alcometals.com']",[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Stainless Steel', 'Aluminum', 'Lead', 'Copper', 'Appliance']",[],
Phelps Auto Wreckers,http://recycler.car-part.com/PhelpsAuto/,2622 Eden Road,San Leandro,CA,94577,United States,"['(510) 569-4204', '(510) 569-4845']",['phelpsautoparts@yahoo.com'],[],[],,[],[],"Phelps Auto Wreckers: serving the San Leandro, CA area with quality used parts"
San Jose Yard - Alco Metals,https://alcometals.com/san-jose/,1788 Rogers Ave.,San Jose,CA,95112,United States,"['(408) 436-1107', '(510) 562-1107', '(408) 452-1354']","['info@alcometals.com', 'sanjose@alcometals.com']",[],[],,"['Iron', 'Scrap Metal', 'Appliance']",[],
Los Angeles Scrap Metal Buyers & Recycling Centers,https://scrapvisor.com/california/los-angeles/,"0








Smart Recycling
414 W C St",Los Angeles,CA,90744,United States,"['(323) 566-5702', '(323) 234-4662', '(310) 830-8277']",[],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Zinc', 'Stainless Steel', 'Aluminum', 'Lead', 'Copper']",[],"Find trusted scrap metal buyers and recycling centers in Los Angeles. View up-to-date scrap metal prices, explore our interactive map of local scrap yards, and connect with reputable companies for fast and profitable scrap sales."
Interstate VW Junkyard California,https://www.classiccult.com/blog/interstate-vw-junkyard.html,18181 Collier Ave,Lake Elsinore,CA,92530,United States,"['(951) 471-5080', '(806) 789-9305']",['jonlem1@twc.com'],[],[],,[],[],
LOCATIONS | Nevada Recycling,https://www.nevadarecycling.com/locations,4611 Mitchell St,North Las Vegas,NV,89081,United States,"['(702) 856-0866', '(702) 643-2218']","['dispatch@nevadarecycling.com', 'asanford@nevadarecycling.com', 'sean@nevadarecycling.com']",[],[],,"['Iron', 'Steel', 'Scrap Metal']",[],We have two convenient locations! Nevada Recycling is located in North Las Vegas and Henderson.
"A & R Scrap Metal Recycling CompanyA Scrap Metal Buyer in South San Francisco, California",https://www.armetalrecyclers.com/scrap-metal-buyer-south-san-francisco-california.html,,,,,United States,['(713) 410-8333'],[],[],[],,['Scrap Metal'],[],"A & R Scrap Metal Recycling Company, scrap metal buyer in South San Francisco, California, scrap metal recycler, recycle scrap metal, scrap metal prices, scrap buyer, South San Francisco, California, CO"
Nevada Scrap Metal Buyers & Recycling Centers,https://scrapvisor.com/nevada/,175 Lyon Dr,Fernley,NV,89408,United States,"['(775) 209-0077', '(775) 815-6103', '(775) 200-0369']",[],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Zinc', 'Stainless Steel', 'Aluminum', 'Lead', 'Copper']",[],"Find trusted scrap metal buyers and recycling centers in Nevada. View up-to-date scrap metal prices, explore our interactive map of local scrap yards, and connect with reputable companies for fast and profitable scrap sales."
"Franks Auto Truck Salvage, LLC",http://recycler.car-part.com/FranksAuto/,"3625 S Meridian Unit C
				Apache Junct",ion,AZ,85120,United States,"['(800) 863-3135', '(480) 983-3135', '(480) 983-0807']",['fats8210@yahoo.com'],[],[],,[],[],"Franks Auto Truck Salvage, LLC: serving the Phoenix, AZ area with quality used parts"
San Francisco California Junkyards & Salvage Yards,https://www.kellysjunkyards.com/california/san-francisco.html,,San Francisco,CA,94102,United States,['(877) 345-3559'],[],[],[],,[],[],
JunkYards inSan Diego (California),https://usjunkyards.com/st-california/cy-san-diego/ci-san-diego/,"217 Reviews





View Junkyard",Sell C,AR,,United States,"['(888) 871-4488', '(888) 853-0481']",[],[],[],,"['Auto Parts', 'Lead', 'Scrap Metal']",[],"Looking for JunkYards in San Diego, CA? Discover top car salvage yards near you to sell your junk car for cash or find auto parts. Visit USJunkYards.com for the best deals in your area!"
Call Today! 916-912-0487,http://www.rudysmetals.com/,750 Richards Boulevard,Sacramento,CA,95811,United States,['(916) 912-0487'],['info@rudysmetals.com'],[],[],,"['Iron', 'Steel', 'Catalytic Converter', 'Brass', 'Aluminum', 'Copper', 'Appliance']",[],
Downtown Metals & Recycling Center,https://www.yelp.ca/biz/downtown-metals-and-recycling-center-los-angeles,540 Alameda St,Los Angeles,CA,90013,United States,[],[],[],[],,"['Copper', 'Scrap Metal']",[],
Scrap Metal Buyers San Francisco - Alco Metals,https://alcometals.com/scrap-metal-buyers-san-francisco/,"39 MB.							



 



Send













San Leandro Headquarters 



									2140 Davis St.",San Leandro,CA,94577,United States,"['(408) 436-1107', '(510) 562-1107', '(707) 562-1107']","['info@alcometals.com', 'getaquote@alcometals.com']",[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Zinc', 'Lead', 'Copper', 'Appliance']",[],
"West Side Metal Recycling - Scrap Metal Recycling, Liquidations, Metal Recycling Center",http://www.wsrecycling.com/,6449 San Fernando Rd.,Glendale,CA,91201,United States,[],"['info@wsrecycling.com', 'mario@wsrecycling.com']",[],[],,"['Electronic', 'Scrap Metal']",[],"All purpose scrap metal recycling company. We also handle business customers, liquidations, excess inventory, facility cleanouts, etc. Call us today"
Auto Salvage | Inglewood | Pico Rivera | Norwalk | 323-583-1094,https://upickpartsla.com/find-used-auto-parts.html,"1094 








































323-583-1094








Toggle navigation



HOME
WE BUY JUNK CARS
GALLERY
SEARCH INVENTORY
ABOUT
CONTACT






SEARCH OUR INVENTORY


 










       8103 South Alameda Street",Los Angeles,CA,90001-4108,United States,['(323) 583-1094'],[],[],[],,[],[],"Pick your part at our auto salvage yard and save serving Compton, Downey, Inglewood and beyond in Southern CA."
San Jose Metals Inc. | Scrap Metal Recycling Solutions,https://sanjosemetalsinc.com/,,,,,United States,[],['questions@sanjosemetalsinc.com'],[],[],,"['Steel', 'Catalytic Converter', 'Brass', 'Scrap Metal', 'Stainless Steel', 'Aluminum', 'Copper', 'Appliance']",[],"Jose Metals Inc. offers efficient and sustainable scrap metal recycling solutions. We provide reliable services for individuals and businesses, helping you turn your scrap into valuable resources. Contact us today for all your metal recycling needs."
Junkyards list inSacramento (CA),https://usjunkyards.com/st-california/cy-sacramento/,,,,,United States,['(888) 853-0481'],[],[],[],,"['Battery', 'Auto Parts', 'Scrap Metal']",[],"This page has compiled the nearest junkyards and auto salvage in Sacramento County, CA. ⭐ On this page, you can locate the nearest junkyards and salvage yards to find parts for your vehicle or to sell it."
