name,phone,email,website,address,city,state,country,description,materials,services
"Peel Scrap Metal Recycling Serving Southern Ontario, including Mississauga, Brampton, Etobicoke, Burlington, Oakville, Milton & Georgetown",(905) 612-1288,info@peelscrapmetalrecycling.com,https://www.peelscrapmetalrecycling.com/recycling-services/,,,,United States,Our recycling services are more than meets the eye. We heavily invest in the equipment & machinery to meet a wide range of client needs. Call us at 905 825-1288/612-1288.,"copper, aluminum, steel, iron, brass, wire, cable","container, demolition, processing"
The Professional Recycling Service That You Need,1741100753,,https://jacksonmetalrecyclingok.com/,"Claremore , OK 74019",Claremore,OK,United States,"Jackson Metal Recycling is an illustrious company that works in Claremore, OK, 74019. Contact us for an exceptional recycling service!",,container
"Industrial Metal Recycling Services in Terre Haute, IN",1706674942,webinquiries@bryantindustries.net,https://www.bryantindustries.net/industrial-metal-recycling,,,,United States,"Need reliable industrial metal recycling services in Terre Haute, IN? Call Bryant Industries at (217) 431-0551 for efficient recycling solutions.","copper, aluminum, steel, iron, brass, wire","pickup, container, demolition, processing, sorting, weighing"
Recycling Services,3333333333,bigcountryrecycling@gmail.com,https://metalrecyclingsanangelotx.com/recycling-services/,,,,United States,"From aluminum containers to stainless steel, copper products & scrap cars, Big Country Recycling LLC will give you a great price. Bring us your assorted metals!","copper, aluminum, steel, iron, brass, wire","container, processing"
ABOUT,018 323 248,ricks_recycling@hotmail.com,https://www.ricksrecycling.net/,,,,United States,"Rick's Recycling, Inc. is a full-service scrap metal recycler and CRV buy-back center serving Bakersfield and its surrounding areas.","copper, aluminum, steel, iron, brass, wire",container
"DNJ Recycling of Drakesboro, LLC",0349095502,info@scrapmonster.com,https://www.scrapmonster.com/company/dnj-recycling-of-drakesboro-llc/182803,,,,United States,"DNJ Recycling Of Drakesboro, LLC. Scrap Metal Recycling Company in United States,Kentucky,Drakesboro, 401 S John Prine Ave 42337. Waste Recycling Company","copper, aluminum, steel, brass","pickup, container"
Current Prices,954-488-0700,,https://scrapmetalbuyers.com/current-prices,,,,United States,"







Current Prices - Scrap Metal Recycling Yard Houston TX





























































Skip to content















 
+954-488-0700














Facebook-square
 



Linkedin
 



Link
 























 









Sell to us
Current Prices
About Us
Cont","copper, aluminum, steel, iron, brass, wire, cable","pickup, container"
We Stand United,708-780-6800,,https://unitedscrap.com/contact-us/,,,,United States,"


Contact Us – United Scrap Metal Buyers and Recyclers



































 








EnglishEspañolPolskiCustomer Log InGet a QuoteSchedule PickupEnglishEspañolPolskiWho We AreBusiness DiversityCommunity EngagementOur PromiseCore ValuesSustainabilitySafety and ComplianceQEHS & Policy",,"pickup, container"
About Us,954-488-0700,,https://www.scrapmetalbuyers.com/about-us,,,,United States,"







About Us - Scrap Metal Recycling Yard Houston TX





























































Skip to content















 
+954-488-0700














Facebook-square
 



Linkedin
 



Link
 























 









Sell to us
Current Prices
About Us
Contact
 
","copper, aluminum, steel, iron, brass, wire, cable","pickup, container, processing"
Leading Minnesota Scrap Metal Buyer – Minneapolis St. Paul,6127216244,,https://www.lederbros.com/scrap-metal-buyer,,,,United States,"Minnesota leading scrap metal buyer purchases all metals at competitive prices and market rates in Minneapolis St Paul. We buy iron, steel, aluminum and copper.","copper, aluminum, steel, iron, brass","container, demolition, processing"
Scrap Buy Requests6 scrap offers listed,0349095502,info@scrapmonster.com,https://www.scrapmonster.com/buyoffers,,,,United States,"Scrap Buyers near your place, Scrap Metals, Plastics, E-Waste, Paper Buy Offers from United States, China, Canada , Europe and India, Price per KG, MT and Tonne","copper, aluminum, steel, iron, brass","container, sorting"
OVERSEAS SCRAP METAL INC,0349095502,info@scrapmonster.com,https://www.scrapmonster.com/company/overseas-scrap-metal-inc/122875,,,,United States,"OVERSEAS SCRAP METAL INC. Plastic Recycling Company in United States,New Jersey,Greeley,  52nd Avenue Ct 80634. Waste Recycling Company","copper, aluminum, steel, brass","pickup, container"
"Find Verified
                                            Metal Scraps
                                                                                            Buyers, Importers and Buy Leads",089298 00770,,https://www.go4worldbusiness.com/buyers/metal-scraps.html,"52B, First Floor, Okhla Phase-3
                        New Delhi, INDIA
                        110020",New Delhi,IN,United States,"          Sell Metal Scraps in bulk to verified buyers and importers. Connect with businesses actively looking to buy wholesale Metal Scraps at best prices.
    ","copper, aluminum, steel, iron, brass, cable","container, sorting"
Machine Shop Scrap Buyers - Manufacturing Scrap Metal Buyers,5088724393,info@framinghamsalvage.com,https://www.framinghamsalvage.com/machine-shop-scrap-buyers.html,,,,United States,We are the best machine shop scrap buyers and we purchase the byproducts of your manufacturing production. We work with manufacturing facilities throughout the New England area and purchase the byproduct of their production. We understand that the manner in which we serve our customers is equally as,"copper, iron","pickup, container, demolition, processing"
Scrap Metal Prices in the United States,5247816020,,https://www.priceofscrapmetals.com/terms-and-conditions/,,,,United States,Terms of Service for priceofscrapmetals.com.,cable,container
The Important Role of Scrap Metal Buyers Philadelphia,1747038135,,https://www.earticlessite.com/the-important-role-of-scrap-metal-buyers-philadelphia/,,,,United States,Recycling and reusing metal is not something that began with the recent Sustainable Living Movement. Scrap Metal Buyers Philadelphia have been picking up,"copper, aluminum, steel, iron, brass, battery","pickup, container, demolition, processing, weighing"
Scrap Metal For Cash!,1086543488,accounts@worldmetalbuyers.com,https://www.worldmetalbuyers.com/,,,,United States,"Scrap Metal Buyer in Fenton, MO that buys aluminum, brass, bronze, carbide, copper, electric motors, lead, tin, magnesium, nickel, stainless steel, steel, cast iron, zinc.","copper, aluminum, steel, iron, brass","container, processing"
The world of secondary raw materials at your fingertips,0316 440025,office@metaloop.com,https://www.metaloop.com/,,,,United States,"Unlock the value of your scrap metal with Metaloop. Transparent processes, strategic partnerships, and scalable solutions tailored to you.","copper, aluminum, steel, iron, wire","pickup, container, processing"
Scrap Metal Buyers in San Diego,(951) 733-6603,electricalsurplusbuyers@gmail.com,https://electricalsurplusbuyers.com/scrap-metal-buyers-in-san-diego/,,,,United States,Getting rid of excess electrical equipment & need 24/7 Scrap Metal Buyers in San Diego? Electrical Surplus Buyers (951) 733-6603.,"copper, steel, iron, wire","container, processing"
A & R Scrap Metal Recycling CompanyScrap Metal Buyer in Atlanta,2541746979,,https://www.armetalrecyclers.com/Atlanta.html,,,,United States,"A & R Scrap Metal Recycling Company, scrap metal buyer in Atlanta, scrap metal recycler, recycle scrap metal, scrap metal prices, scrap buyer, Atlanta, GA","copper, aluminum",
"Find Verified
                                            Brass Scrap
                                                                                            Buyers, Importers and Buy Leads",089298 00770,,https://www.go4worldbusiness.com/buyers/united+states/brass-scrap.html,"52B, First Floor, Okhla Phase-3
                        New Delhi, INDIA
                        110020",New Delhi,IN,United States,"          Sell Brass Scrap in bulk to verified buyers and importers. Connect with businesses actively looking to buy wholesale Brass Scrap at best prices.
    ","copper, aluminum, steel, iron, brass, wire, cable","container, processing, sorting"
,832 356 8014,,https://texassalvageandsurplusbuyers.com/gulf-coast-scrap-metal-buyers-832-356-8014-free-quote/,,,,United States,"










GULF COAST SCRAP METAL BUYERS. 832 356 8014 FREE QUOTE - Texas Salvage and Surplus Buyers






































































							Houston Texas - Salvage - Demolition - Equipment Movers - Land Clearing - Trucking - Oilfield Salvage - Marine Salvage - R","copper, steel","pickup, container, demolition"
"scrap metal buyers at 7923 Glenview Dr, Houston, TX 77061",1674700345,icons-ffffff@2x.png,https://www.u-pull-it.com/junkyards-directory/scrap-metal-buyers-at-7923-glenview-dr-houston-tx-77061/,,,,United States,"scrap metal buyers Scrap metal dealer at 7923 Glenview Dr, Houston, TX 77061",,"container, weighing"
LMS Metal Buyers,0349095502,info@scrapmonster.com,https://www.scrapmonster.com/company/lms-metal-buyers/135866,,,,United States,"LMS Metal Buyers. Scrap Metal Recycling Company in United States,Illinois,East Saint Louis, 808 Walnut Ave  62201. Waste Recycling Company","copper, aluminum, steel, brass","pickup, container"
Austin scrap metal buyers,4150215752,info@bordersbrothers.com,https://www.allamericanrecycle.com/tag/austin-scrap-metal-buyers/,,,,United States,"









Austin scrap metal buyers Archives | All American Recycling









































 








		Skip to content







Call 512-243-1183   










 





Main Menu
 


HomeAboutMenu Toggle

Team Facility FAQs Community Our Reviews Review Us
ServicesMenu Toggle

Why Choo","copper, aluminum, steel, iron, brass",container
Scrap Metal Buyers Near Me 77076,(713) 697-2999,donbuntin1@gmail.com,https://astrocityscrap.com/scrap-metal-buyers-near-me-77076/,,,,United States,"Scrap Metal Buyers Near Me 77076, Astro City proudly accepts brass, copper, aluminum, and more. Call today!","copper, aluminum, steel, iron, brass, wire","container, weighing"
Anderson Recycling Emerges the Leading Local Scrap Metal Buyers in Sandstone,8349233976,,https://www.prlog.org/13001120-anderson-recycling-emerges-the-leading-local-scrap-metal-buyers-in-sandstone.html,,,,United States,"Anderson Recycling Emerges the Leading Local Scrap Metal Buyers in Sandstone. Anderson Recycling is a leading scrap metal recycling service in Sandstone, offering a quick and hassle-free scrap metal and junk cars buying process. Contact Anderson Recycling to learn more about its services. - PR130011","copper, steel, iron, wire","pickup, processing"
The History of U.S. Scrap Metal Recycling from Paul Revere to Rosie the Riveter,1320582485,,https://www.cohenusa.com/blog/the-history-of-u-s-scrap-metal-recycling-from-paul-revere-to-rosie-the-riveter/,,,,United States,"The history of scrap metal in the U.S. dates back as far as the founding fathers. Weaponry, ammunition and war vehicles are all forms of recyclable scrap.","copper, aluminum, steel, iron","container, weighing"
Scrap Metal Products and Services in United States - ZipLeaf,2173998293,contact@tulsacatalyticconvertorbuyer.comWebsite,https://www.zipleaf.us/Products/Scrap-metal,,,,United States,Find local scrap metal products and services in United States's best business directory.,"copper, aluminum, steel, iron, brass, wire","pickup, container, processing"
Andy Scrap Metal LTD - Andy Scrap Metal LTD,1741164882,info@andyscrapmetalltd.com,https://andyscrapmetalltd.com/,,,,United States,"Scrap Metal Near Me at Andy Scrap Metal Ltd, we are dedicated to transforming scrap metal into valuable resources for a sustainable future. With our","copper, aluminum, steel, iron, brass, battery, wire",container
How Are Scrap Metal Prices Determined?,(708) 730-1400,,https://scrapmetalservices.com/tag/scrap-metal/,,,,United States,"


 




Scrap Metal Archives | Scrap Metal Services


































































Skip to content 



 



 
 
Home
About 




History Meet The Team Safety Core Values Sustainability Careers Press Releases

Services 




Steel Mill Services Non-Ferrous & Ferrous ","copper, aluminum, steel, iron, brass, wire","container, demolition, processing, sorting"
Best Places to Find Scrap Metal for Your Hustle | | Express Informer,7701165757,,https://expressinformer.com/best-places-to-find-scrap-metal-for-your-hustle/,,,,United States,One of the more lucrative and eco-friendly side gigs you can participate in is scrapping metal and flipping them for profit. Several tons of scrap metal is,"copper, aluminum, steel, iron, cable","container, processing"
Preston Free scrap metal collection,2942675164,support@webador.com,https://www.chorley-free-scrap-metal-collection.com/,,,,United States,"










Chorley Free scrap metal collection


















 





 

 
Preston Free scrap metal collection    











 


Preston Free scrap metal collection    







            Home        





            Services Offered        





            Scrap Metal Recycling Information    ","copper, steel, iron, brass","pickup, container"
Scrap Metal Collection Burton upon Trent,2545352419,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.scrapmetalcollection.net/burtonupontrent,,,,United States,"Professional scrap metal collection in Burton upon Trent. We provide fast, eco-friendly scrap removal services. Contact us to schedule a collection today!","copper, steel, iron, brass, cable","pickup, container, processing, sorting"
879 ads Cars Wanted,1416928546,,https://www.gumtree.com/p/cars-wanted/-free-scrap-metal-collection-/1479539973,,,,United States,"Looking to sell your car? Cars wanted ✅ Shop hassle-free with Gumtree, your local buying &amp; selling community.","iron, battery",container
Man And Van Bolton - Manchester,2025071913,,https://www.manandvantree.co.uk/man-and-van-bolton-free-scrap-metal-collection-bolton_i20519,,,,United States,"Reliable Man and Van removals in Bolton for house moves, office relocation, and deliveries. Fast, affordable, and fully insured service.","copper, aluminum, brass, wire, cable","pickup, container"
"""scrap metal collection"" in Western Cape",8252589475,,https://www.gumtree.co.za/s-western-cape/scrap+metal+collection/v1l3100001q0p1,,,,United States,Find scrap metal collection in Western Cape! View Gumtree Free Online Classified Ads for scrap metal collection and more in Western Cape.,"copper, aluminum, steel, brass, wire, cable","container, processing"
Scrap Metal Removal,(844) 438-5364,,https://www.jdogjunkremoval.com/scrap-metal-removal/,"1021 Old Cassatt Rd, Suite 100 · Berwyn , PA 19312","1021 Old Cassatt Rd, Suite 100 · Berwyn",PA,United States,"Got scrap metal to get rid of? Call JDog Junk Removal & they'll pick it up, haul it away, & dispose of or recycle it. No job is too big or small.","copper, aluminum, steel, iron, brass","container, demolition"
"Scrap Yard Finder, Waste Management & Scrap Metal Prices",(305) 781-6185,,https://www.recyclingmonster.com/,,,,United States,"Recycling Centers Finder, Search and find recycling centers near you that accept and recycle products and materials , Unites States Scrap Metal Prices, Recycling Tips,News","copper, aluminum, steel, iron, brass",container
The Ultimate Guide: Who Will Pick Up Scrap Metal for Free?,1752617955,,https://www.simpli.com/lifestyle/ultimate-guide-will-pick-scrap-metal-free,,,,United States,One of the first places to start when seeking someone to pick up your scrap metal for free is by contacting local scrap metal collectors.,iron,"pickup, container"
Dakar Companies,0349095502,info@scrapmonster.com,https://www.scrapmonster.com/companies/region/senegal/dakar,,,,United States,"Waste & Recycling, Metals, Mining & Energy Companies in Dakar,Senegal Local Company Directory,Buyers,Suppliers in Dakar  Traders Directory","copper, aluminum, steel, brass, cable","pickup, container"
Scrap,6882703280,,https://www.lalanguefrancaise.com/dictionnaire/definition/scrap,,,,United States,"Définition de scrap : dictionnaire, étymologie, phonétique, citations littéraires, synonymes et antonymes de « scrap »","steel, wire",container
Traduction de scrap,1490103426,,https://www.larousse.fr/dictionnaires/anglais-francais/scrap/609822,,,,United States,"scrap - Traduction Anglais-Français : Retrouvez la traduction de scrap, mais également sa prononciation, la traduction des expressions à partir de scrap : scrap, scrap, scrap, ....",iron,container
"Le scrap, Version Française, en 5 étapes clés.",2666666666,,https://www.agnesvousraconte.com/2020/11/12/le-scrap-version-francaise-en-5-etapes-cles/,,,,United States,"Histoire du scrapbooking, en France avec 5 étapes clés : émergence d'un nouveau loisir créatif américain à un scrap français.",,container
▾Dictionnaire anglais-français,1000070180,,https://www.linguee.fr/anglais-francais/traduction/scrap.html,,,,United States,"De très nombreux exemples de phrases traduites contenant ""scrap"" – Dictionnaire français-anglais et moteur de recherche de traductions françaises.","steel, iron, wire","container, processing, sorting"
Metal,1322254015,,https://developer.apple.com/metal/,,,,United States,"





















Metal Overview - Apple Developer

































View in English






















Global Nav Open Menu


Global Nav Close Menu




Apple Developer










Search



Cancel








Apple Developer




News




Discover




Design




Develop




Distribut",,container
Metal,1322254015,,https://developer.apple.com/cn/metal/,,,,United States,"





















Metal 概览 - Apple 开发者

































View in English






















打开菜单


关闭菜单




Apple Developer










搜索



关闭搜索








Apple Developer




新闻




探索




设计




开发




分发




支持




账户





















								关闭搜索
							






在“”范围内搜索。
快捷",,container
资源,1322254015,,https://developer.apple.com/cn/metal/resources/,,,,United States,"





















资源 - Metal - Apple 开发者






























View in English






















打开菜单


关闭菜单




Apple Developer










搜索



关闭搜索








Apple Developer




新闻




探索




设计




开发




分发




支持




账户





















								关闭搜索
							






在“”范围内搜索。
快捷链",,container
Accelerated PyTorch training on Mac,1322254015,,https://developer.apple.com/metal/pytorch/,,,,United States,"





















Accelerated PyTorch training on Mac - Metal - Apple Developer



























View in English






















Global Nav Open Menu


Global Nav Close Menu




Apple Developer










Search



Cancel








Apple Developer




News




Discover




Design


",iron,container
Metal 的新功能,1322254015,,https://developer.apple.com/cn/metal/whats-new/,,,,United States,"





















新功能 - Metal - Apple 开发者





























View in English






















打开菜单


关闭菜单




Apple Developer










搜索



关闭搜索








Apple Developer




新闻




探索




设计




开发




分发




支持




账户





















								关闭搜索
							






在“”范围内搜索。
快捷链",,"container, processing"
What’s new in Metal,1322254015,,https://developer.apple.com/metal/whats-new/,,,,United States,"





















What’s New - Metal - Apple Developer






























View in English






















Global Nav Open Menu


Global Nav Close Menu




Apple Developer










Search



Cancel








Apple Developer




News




Discover




Design




Develop




Distribu",,"container, processing"
Get started with tensorflow-metal,1322254015,,https://developer.apple.com/metal/tensorflow-plugin/,,,,United States,"





















Tensorflow Plugin - Metal - Apple Developer

























View in English






















Global Nav Open Menu


Global Nav Close Menu




Apple Developer










Search



Cancel








Apple Developer




News




Discover




Design




Develop




Distri",iron,container
Metal sample code,1322254015,,https://developer.apple.com/metal/sample-code/,,,,United States,"





















Metal Sample Code - Apple Developer













View in English






















Global Nav Open Menu


Global Nav Close Menu




Apple Developer










Search



Cancel








Apple Developer




News




Discover




Design




Develop




Distribute




Support



",iron,"container, processing"
Contact Us,325.7912837,,http://allscrap.biz/,,,,United States," 






All Scrap Metal Recycling Home - All Scrap Metal Recycling



































































Home
About Us
Items We Buy
Contact









 





Scrap Metal Recycling 

Our full service metal recycling center offers the flexibility you need at competitive pric",,"pickup, container, demolition"
Metal recycling dallas tx,(214) 421-9981,cropped-Clean-up-services-page-Customized-recycling-logo@2x-32x32.png,https://www.actionmetalsrecyclers.com/,,,,United States,"Choose Action Metal Recyclers for top-notch metal recycling in Dallas, TX. Contact us now for great rates and more information.","copper, aluminum, steel, iron, brass, battery, wire","container, demolition"
"Recycling Centers Near You – Auto, Scrap & Metal Recycling",(888) 853-0481,,https://usjunkyards.com/junkyards-recycling-center/,,,,United States,"Locate local recycling centers for metal, electronics, cars, and more. Connect with verified junkyards and eco-friendly recyclers across the U.S.","copper, aluminum, steel","container, processing"
Dames Non Ferrous Metal Recyclers Ltd Home,089039 94012,,https://www.recycleinme.com/rim-dames/home,,,,United States,"Dames Non Ferrous Metal Recycling is a well established, constantly growing, family-run metal recycler business. Our aim is to provide the best possible...","copper, steel",
Premier Metal Buyers,1675114284,,https://www.linkedin.com/company/premiermetal,,,,United States,"Premier Metal Buyers | 527 followers on LinkedIn. Your trusted one-stop shop for customized, efficient, and cost-effective metal recycling services. | The first call for metal recycling, asset destruction and plant liquidation services... A woman owned business started in 2009 with the idea or reduc","aluminum, steel, iron","container, demolition, sorting"
TikTok - Make Your Day,2059602903,example@example.com,https://www.tiktok.com/@masonmetals,,,,United States,TikTok - Make Your Day ,steel,container
TABLE OF CONTENTS,1678306038,mymail@mailservice.com,https://www.aimrecyclingco.com/spring-cleaning-with-aim-recycling,,,,United States,Spring is near. Get ready to declutter your space & earn some extra money recycling metal scrap. ,"copper, aluminum, steel, iron, brass, wire",container
RecycledMetals,2609693500,,https://www.steeldynamics.com/recycled-metals/,,,,United States,"





Recycled Metals | Steel Dynamics




































































Careers
Team Members













Our Company

History
Leadership
Awards
Careers
Team Members


Products

Steel

Flat Roll Steel
Long Products Steel


Steel Joists and Deck
Recycled Metals
Proc","copper, aluminum, steel, iron, brass, wire","container, processing, sorting"
Live Scrap Metal Prices,0349095502,info@scrapmonster.com,https://www.scrapmonster.com/,,,,United States,"ScrapMonster provides daily scrap metal prices in USA, China, UK & India. Free scrap marketplace,recycling news, junk yard & recycling companies directory.","copper, aluminum, steel, iron, brass, wire, cable","pickup, container, sorting"
Monrovia Recycling Center,0349095502,info@scrapmonster.com,https://www.scrapmonster.com/company/monrovia-recycling-center/13353,,,,United States,"Monrovia Recycling Center. Scrap Metal Recycling Company in United States,California,Monrovia, 145 W Duarte Blvd  91016. Waste Recycling Company","copper, aluminum, steel, brass","pickup, container"
Studdard Scrap Metal’s Post,7195870528,,https://www.linkedin.com/posts/studdard-scrap-metal_scrapmetalrecycling-metalrecycling-recycle-activity-7195870528094547968-L6mC,,,,United States,"Have you ever wondered what happens after you drop off your metal to our scrap yard?  Read below to find out more about the cycle of recycling!
#scrapmetalrecycling #metalrecycling #recycle #metal #scrapmetal #scrap #houma #louisiana #morgancity ","aluminum, steel, iron, wire","container, sorting"
Top 10 Metal Scrap Exporters in the USA,846-7423006,info@tradeimex.in,https://www.usimportdata.com/blogs/top-metal-scrap-exporters-in-usa,,,,United States,"The top 10 biggest metal scrap exporters in the USA include Nucor Corporation ($34.7 billion), Sims Metal Management ($2.5 billion), and Commercial Metals Company ($1 billion), all with over 1.5 million tons of metal scrap exports annually.","copper, aluminum, steel, iron",container
Current Prices,954-488-0700,,https://scrapmetalbuyers.com/current-prices/,,,,United States,"







Current Prices - Scrap Metal Recycling Yard Houston TX





























































Skip to content















 
+954-488-0700














Facebook-square
 



Linkedin
 



Link
 























 









Sell to us
Current Prices
About Us
Cont","copper, aluminum, steel, iron, brass, wire, cable","pickup, container"
Metal Recycling | Suburban Scrap Metal Co | United States,0684054685,kelly@suburbanscrap.com,https://www.suburbanscrap.com/,,,,United States,"Welcome to Suburban Scrap! We give cash for your scrap metal. We take copper, brass, steel and aluminum and more! Come recycle your leftover metal with us today.","copper, aluminum, steel, iron, brass, wire","pickup, container, processing"
United States Scrap Metal Prices,0349095502,info@scrapmonster.com,https://www.scrapmonster.com/scrap-metal-prices/united-states,,,,United States,"Scrap Metal Prices in United States. Current Scrap Metal Recycling Prices collected from USA Scrap Yards, brokers and exporters. Daily Prices on Non Ferrous, Ferrous, Scrap Precious Metals and Electronic Scrap. Scrap Prices are updated Daily around 12 EST","copper, aluminum, steel, iron, brass, battery, wire","pickup, container"
Menu,(866) 337-7687,,https://www.fptscrap.com/,,,,United States,"














































































Call Toll Free:

1-866-FERROUS


















Menu



Home
About

News
Mission, Vision and Core Values
Company History
Financial Strength
Meet the Staff
Cleveland Cliffs
Strategic Alliances


Metal Recycling

Purchasin","steel, iron","container, processing"
Buy Scrap Metal,(800) 463-4797,ferrousinquiries@triplemmetal.com,https://www.triplemmetal.com/buy-scrap-metal/,,,,United States,"Interested in buying scrap metal? From foundries to steelmakers, our traders are equipped to service all your scrap metal needs!","copper, aluminum, steel, iron, brass","container, demolition, processing, sorting"
Get Top Dollar for Scrap Metal Recycling,1658768693,,https://glescrap.com,,,,United States,"Scrap metal recycler with locations throughout Florida & Michigan, GLE Scrap Metal offers top dollar for your metal.","copper, aluminum, iron","pickup, container, demolition, processing"
Top 10 U.S. Scrap Industry Companies in 2025: Market Dynamics Furthering Ecological Responsibility,(303) 800-4326,sales@sphericalinsights.com,https://www.sphericalinsights.com/blogs/top-10-us-scrap-industry-companies-in-2025-market-dynamics-furthering-ecological-responsibility,,,,United States,Explore the top 10 U.S. scrap industry companies in 2025 and see how market trends are driving sustainability and ecological responsibility.,"copper, aluminum, steel, iron, wire","container, processing, sorting"
Get Top Dollar for Scrap Metal Recycling,1658768693,,https://glescrap.com/,,,,United States,"Scrap metal recycler with locations throughout Florida & Michigan, GLE Scrap Metal offers top dollar for your metal.","copper, aluminum, iron","pickup, container, demolition, processing"
SCRAP METALRECYCLERS,(856) 583-1830,,https://us.emrgroup.com/sell-to-us/sectors-we-serve/scrap-metal-recycling,,,,United States,EMR USA offer the best prices and service to other scrap metal yards looking for a reprocessing partner.,"copper, iron, cable","container, demolition, processing"
Sell To Us,1752776646,,https://www.sarecycling.com/sell-to-us/,,,,United States,SA Recycling provides local collection and recycling of metals arising from manufacturing processes and site clearance and demolition projects. Local metal,"copper, aluminum, steel, brass","container, demolition"
Welcome to T & T Recycling,4445535400,,http://tandtrecycling.com/,,,,United States,"


Welcome to T and T Recycling of Southern Illinois * Metal Recycling * Recycle your Scrap Metal * Southern IL * Hurst IL * Benton IL








home
about us
metals
roll offs / trailers
contact us















What kind of metals we buy
Click here to browse our list of ferrous and and non-ferrous m","steel, iron",container
Metal Recycling Services - Gastonia,3085852732,,https://www.recyclingmonster.com/recycling-center/metal-recycling-services-gastonia/34652,,,,United States,"Metal Recycling Services - Gastonia, Recycling Center at 5401 S. York Highway, Gastonia, North Carolina, United States - Open hours, accepting materials, scrap prices, phone number and location address","copper, aluminum, steel, iron",container
Top Dog Waste Solutions Services Local Commercial Customers With Metal Recycling Services,(202) 335-3939,,https://companies.einnews.com/pr_news/782187099/top-dog-waste-solutions-services-local-commercial-customers-with-metal-recycling-services,,,,United States,Top Dog Waste Solutions Provides Metal Recycling Services for Local Commercial Clients.,"copper, aluminum, steel, iron, brass, wire",
Urban Metal Recycling,(718) 629-1371,help@mapquest.com,https://www.mapquest.com/us/new-york/urban-metal-recycling-urban-429467970,,,,United States,"Get more information for Urban Metal Recycling in Brooklyn, NY. See reviews, map, get the address, and find directions.","copper, aluminum, steel, iron, brass, wire, cable","pickup, container, demolition, processing, weighing"
,832 356 9014,,https://texassalvageandsurplusbuyers.com/scrap-metal-buyer-832-356-9014-small-or-big-loads/,,,,United States,"










SCRAP METAL BUYER . 832 356 9014 SMALL OR BIG LOADS. - Texas Salvage and Surplus Buyers





































































							Houston Texas - Salvage - Demolition - Equipment Movers - Land Clearing - Trucking - Oilfield Salvage - Marine Salvage - Recy","copper, steel","pickup, container, demolition"
Scrap Metal Recycling Centers Open Near Me,6345299017,,https://ccenterfood.blogspot.com/2022/01/scrap-metal-recycling-centers-open-near.html,,,,United States,"





















Scrap Metal Recycling Centers Open Near Me































































Community Center Food



Community Center Food Images









 Menu


 Home














Home » open » 
recycling » 
scrap
 » Scrap Metal Recycling Centers Open Near Me

","copper, aluminum, steel, iron, brass","pickup, container, sorting"
Scrap MetalPick Up Services,1752093150,support@jiffyjunk.com,https://www.jiffyjunk.com/junk-removal-services/scrap-metal-pick-up/,,,,United States,Scrap metal pick up service in a jiffy! Efficient & reliable metal pick up experts. We make scrap metal removal easy for you - get a quote on site!,"copper, aluminum, steel, iron, brass","pickup, container"
Recycling Metal Scrap,1749500413,why-your-organization-needs-a-professional-data-erasure-partner-500x383@2x.jpg,https://1greenplanet.com/general/recycling-metal-scrap/,,,,United States,"






Recycling Metal Scrap - 1 Green Planet















































 









 


Skip to content




 (425) 996-3513
Pick UpDrop OffPick UpDrop OffToggle NavigationIT Asset DispositionRecycle ElectronicsOur ProcessBIN ProgramCertificationsIndustries We ServeHospitality Ind","copper, aluminum, steel, iron, brass, wire","pickup, container, processing"
